,Event_Name,Check_Event,NPC_Name,Required_Events,Required_Events_Or_1,Required_Events_Or_2,Required_Events_And_1,Required_Events_And_2,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Completed
328,receive_dumplings,TRUE,Man at entrance,receive_dumplings,,,,,Set:Man at entrance 3,,,,,,,
329,Man at entrance 1,TRUE,Man at entrance,Man at entrance 1,,,,,Set:Man at entrance 2,,,,,,,
330,Man at entrance 2,TRUE,Man at entrance,Man at entrance 2,,,,,Set:Man at entrance 1,,,,,,,
331,Man at entrance 3,TRUE,Man at entrance,Man at entrance 3,,,,,Set:Man at entrance 1,Quest_Completed:quest world deliver food,,,,,,
332,farmer needs help 1,TRUE,Tutorial,farmer needs help 1,,,,,Event:crop_harvest_reveal,,,,,,,
333,crop_harvested1,TRUE,Tutorial,crop_harvested1,,,,,Event:crop_harvested_all,,,,,,,
334,crop_harvested_all,TRUE,Tutorial,crop_harvested_all,,,crop_harvested2,crop_harvested3,Event:crop_harvest_complete,,,,,,,
335,crop_harvest_complete,TRUE,Farmer needing help,crop_harvest_complete,,,,,Set:farmer needs help 2,,,,,,,
336,farmer needs help 2,TRUE,Tutorial,farmer needs help 2,,,,,Event:leaves_reveal,,,,,,,
337,leaves2_activate,TRUE,Farmer needing help,leaves2_activate,,,,,Set:farmer needs help 3,,,,,,,
338,farmer needs help 3,TRUE,Tutorial,farmer needs help 3,,,,,Event:lake_camera_cue41,,,,,,,
339,farmer_help_complete,TRUE,Tutorial,farmer_help_complete,,,,,Event:leaves_hide,Event:crop_harvest_hide,,,,,,
340,stabilize_patient,TRUE,Tutorial,stabilize_patient,,,,,Event:post_stabilize_teacher,Event:post_stabilize_patient,Event:post_stabilize_ferrywoman,,,,,
341,post_stabilize_teacher,TRUE,Teacher1lake,post_stabilize_teacher,,,,,Set:after patient is stabilized,,,,,,,
342,post_stabilize_patient,TRUE,Evac Patient,post_stabilize_patient,,,,,Set:Evac Patient 1 post,,,,,,,
343,after patient is stabilized,TRUE,Teacher1lake,after patient is stabilized,,,,,Quest_Start:quest world check on evacuees 1,Quest_Start:quest world check on evacuees 2,Event:evacuee_tasks,Set:after patient is stabilized2,,,,
344,post_stabilize_ferrywoman,TRUE,Ferrywoman,post_stabilize_ferrywoman,,,,,Set:Ferrywoman 1,,,,,,,
345,innkeeper1,TRUE,Innkeeper,innkeeper1,,,,,Quest_Completed:quest visit river town 1,Set:innkeeper2,Event:visit all towns12,Quest_Start:quest grass sea shepherd,,,,
346,lake_fire1_active,TRUE,Woman near fire,lake_fire1_active,,,,,Set:woman trying to start fire response,,,,,,,
347,Ferrywoman 1,TRUE,Ferrywoman,Ferrywoman 1,,,,,Quest_Completed:quest world check on evacuees 1,Set_Narrator:narrator river town ferry,Event:NarratorRiverTownPier#Event_Action=Cue_Narrator_Dialogue,,,,,
348,book_at_pier,TRUE,Tutorial,book_at_pier,,,,,Quest_Completed:quest world check on evacuees 2,Set_Narrator:narrator lakeside pier book,Event:NarratorLakesidePier#Event_Action=Cue_Narrator_Dialogue,Event:book_at_pier2,,,,
349,book_at_pier2,TRUE,Evac Patient,book_at_pier2,,,,,Set:Evac Patient book found,,,,,,,
350,Evac Patient book found,TRUE,Evac Patient,Evac Patient book found,,,,,Set:Evac Patient 1 post,,,,,,,
351,evacuee_tasks,TRUE,Teacher1lake,evacuee_tasks,,,Ferrywoman 1,book_at_pier,Set:after patient is stabilized3,,,,,,,
352,mystery board loop,TRUE,mystery_board,mystery board loop,,,,,Event:mystery_board2,Event:myster_board3,,,,,,
353,mystery_board2,TRUE,mystery_board,mystery_board2,,,,,Quest_Start:quest mystery pies,Quest_Start:quest mystery goat,Quest_Start:quest mystery bear,,,,,
354,mystery_board3,TRUE,mystery_board,mystery_board3,,,,,Quest_Start:quest mystery rash,Quest_Start:quest mystery delivery guy,Quest_Start:quest mystery delivery soap,Event:no deliveries,Event:new delivery,,,
355,miner relaxing at mine,TRUE,Lazy Miner,miner relaxing at mine,,,,,Quest_Completed:quest miners,,,,,,,
356,mayor3 intro,TRUE,Mayor3,mayor3 intro,,,,,Quest_Completed:quest visit plateau town 1,Event:visit all towns34,Event:mayor3 2,,,,,
357,mayor3 2,TRUE,Mayor3,mayor3 2,,,,,Quest_Start:quest miners,Quest_Start:quest shepherds plateau,Quest_Start:quest seal mountain pass,,,,,
358,visit all towns12,TRUE,Tutorial,visit all towns12,,,innkeeper1,sifu1 intro,Event:visit all towns12A,,,,,,,
359,visit all towns34,TRUE,Tutorial,visit all towns34,,,welcoming guard,mayor3 intro,Event:visit all towns34B,,,,,,,
360,visit all towns12A,TRUE,Tutorial,visit all towns12A,,,visit all towns34B,,Event:visit all towns1234,,,,,,,
361,visit all towns1234,TRUE,Tutorial,visit all towns1234,,,visit all towns12,visit all towns34,Quest_Start:quest rally mages,Event:recruit_finished,,,,,,
362,student_recruit2,TRUE,Tutorial,student_recruit2,,,,,Event:student_recruit12,Event:student_recruit23,,,,,,
363,student_recruit3,TRUE,Tutorial,student_recruit3,,,,,Event:student_recruit13,Event:student_recruit23,,,,,,
364,student_recruit12,TRUE,Tutorial,student_recruit12,,,student_recruit1,student_recruit2,Event:all students recruited,,,,,,,
365,student_recruit23,TRUE,Tutorial,student_recruit23,,,student_recruit3,student_recruit2,Event:all students recruited,,,,,,,
366,student_recruit13,TRUE,Tutorial,student_recruit13,,,student_recruit1,student_recruit3,Event:all students recruited,,,,,,,
367,all students recruited,TRUE,Sifu2,all students recruited,,,,,Set:sifu after talking to students,Quest_Line_Strike:quests for students 0=1,,,,,,
368,sifu after talking to students,TRUE,Sifu2,sifu after talking to students,,,,,Event:lake_camera_cue34,Quest_Completed:quests for students 0,,,,,,
369,Lady watching dog 1,TRUE,Lady complaining,Lady watching dog 1,,,,,Set:Lady complaining after,Quest_Completed:quest mystery pies,,,,,,
370,Lady complaining after,TRUE,Lady complaining,Lady complaining after,,,,,Set:Lady complaining loop1,,,,,,,
371,Lady complaining loop1,TRUE,Lady complaining,Lady complaining loop1,,,,,Set:Lady complaining loop2,Remove:Lady complaining loop1,,,,,,
372,Lady complaining loop2,TRUE,Lady complaining,Lady complaining loop2,,,,,Set:Lady complaining loop3,Remove:Lady complaining loop2,,,,,,
373,Lady complaining loop3,TRUE,Lady complaining,Lady complaining loop3,,,,,Set:Lady complaining loop4,Remove:Lady complaining loop3,,,,,,
374,Lady complaining loop4,TRUE,Lady complaining,Lady complaining loop4,,,,,Set:Lady complaining loop5,Remove:Lady complaining loop4,,,,,,
375,Lady complaining loop5,TRUE,Lady complaining,Lady complaining loop5,,,,,Set:Lady complaining loop1,Remove:Lady complaining loop5,,,,,,
376,student recovering1,TRUE,Student recovering,student recovering1,,,,,Event:need medicine,Quest_Completed:quest mystery rash,Quest_Start:quest help student recovering1,Event:find_rash,,,,
377,find_rash,TRUE,Villager at gate1,find_rash,,,,,Set:Two men stand on the right side of the entrance1,,,,,,,
378,Two men stand on the right side of the entrance1,TRUE,Villager at gate1,Two men stand on the right side of the entrance1,,,,,Set:Two men stand on the right side of the entrance2,Event:rash found,Event:need medicine,,,,,
379,rash found,TRUE,Student recovering,rash found,,,,,Set:Student recovering2,Quest_Completed:quest help student recovering1,Quest_Start:quest help student recovering2,,,,,
380,need medicine,TRUE,Teacher1lake,need medicine,,,,,Set:rash medicine,,,,,,,
381,rash medicine,TRUE,Teacher1lake,rash medicine,,,,,Set:Teacher1 is at the dock with a patient,Event:update stabilize,Quest_Completed:quest help student recovering2,Quest_Start:quest return with medicine,,,,
382,update stabilize,TRUE,Tutorial,update stabilize,,,,,Event:update stabilize1,Event:update stabilize2,Event:update stabilize3,Event:update medicine,,,,
383,update stabilize1,TRUE,Teacher1lake,update stabilize1,,,post_stabilize_teacher,,Set:after patient is stabilized,,,,,,,
384,update stabilize2,TRUE,Teacher1lake,update stabilize2,,,after patient is stabilized,,Set:after patient is stabilized2,,,,,,,
385,update stabilize3,TRUE,Teacher1lake,update stabilize3,,,after patient is stabilized2,,Set:after patient is stabilized3,,,,,,,
386,update medicine,TRUE,Student recovering,update medicine,,,,,Set:student recovering3,,,,,,,
387,student recovering3,TRUE,Student recovering,student recovering3,,,,,Quest_Completed:quest return with medicine,Set:student recovering4,,,,,,
388,Daydreaming kid 1,TRUE,Daydreaming kid,Daydreaming kid 1,,,,,Set:Daydreaming kid 2,,,,,,,
389,young man muses over book 1,TRUE,Student reading,young man muses over book 1,,,,,Quest_Start:quest convince student reading mom,Event:convince mom,Set:young man muses over book before,,,,,
390,convince mom,TRUE,Mom of student,convince mom,,,,,Set:get permission from mom 1,,,,,,,
391,get permission from mom 1,TRUE,Mom of student,get permission from mom 1,,,,,Set:get permission from mom 2,Event:lake_camera_cue30,,,,,,
392,get permission from mom 2,TRUE,Tutorial,get permission from mom 2,,,,,Set_Narrator:narrator scroll falls,Event:NarratorScrollFalls#Event_Action=Cue_Narrator_Dialogue,,,,,,
393,pickup book,TRUE,Mom of student,pickup book,,,,,Set:get permission from mom 3,,,,,,,
394,maze_finishA,TRUE,Tutorial,maze_finishA,,,,,Event:moms permission 3,,,,,,,
395,maze_finishC,TRUE,Tutorial,maze_finishC,,,,,,,,,,,,
396,race_end_marker,TRUE,Tutorial,race_end_marker,,,,,Event:moms permission 1,,,,,,,
397,guru_marker1,TRUE,Tutorial,guru_marker1,,,,,Event:guru12,,,,,,,
398,guru_marker2,TRUE,Tutorial,guru_marker2,,,,,Event:guru12,,,,,,,
399,guru_marker3,TRUE,Tutorial,guru_marker3,,,,,Event:guru34,,,,,,,
400,guru_marker4,TRUE,Tutorial,guru_marker4,,,,,Event:guru34,,,,,,,
401,guru_marker5,TRUE,Tutorial,guru_marker5,,,,,Event:guru5,,,,,,,
402,guru12,TRUE,Tutorial,guru12,,,guru_marker1,guru_marker2,Event:guru12a,Event:guru1234,,,,,,
403,guru34,TRUE,Tutorial,guru34,,,guru_marker3,guru_marker4,Event:guru34a,Event:guru1234,,,,,,
404,guru1234,TRUE,Tutorial,guru1234,,,guru12a,guru34a,Event:guru1234a,Event:guru12345,,,,,,
405,guru12345,TRUE,Tutorial,guru12345,,,guru1234a,guru5,Event:moms permission 2,,,,,,,
406,get permission from mom 3,TRUE,Mom of student,get permission from mom 3,,,,,Quest_Start:quest moms permission 1,Quest_Start:quest moms permission 2,Quest_Start:quest moms permission 3,Set:get permission from mom 4,,,,
407,moms permission 1,TRUE,Tutorial,moms permission 1,,,,,Quest_Completed:quest moms permission 1,Event:permissions123,,,,,,
408,moms permission 2,TRUE,Tutorial,moms permission 2,,,,,Quest_Completed:quest moms permission 2,,,,,,,
409,moms permission 3,TRUE,Tutorial,moms permission 3,,,,,Quest_Completed:quest moms permission 3,,,,,,,
410,permissions123,TRUE,Mom of student,permissions123,,,moms permission 2,moms permission 3,Set:get permission from mom 5,,,,,,,
411,get permission from mom 4,TRUE,Mom of student,get permission from mom 4,,,,,,,,,,,,
412,get permission from mom 5,TRUE,Mom of student,get permission from mom 5,,,,,Quest_Completed:quest convince student reading mom,Set:get permission from mom 6,Set_Narrator:narrator moms charms,Event:NarratorMomCharm#Event_Action=Cue_Narrator_Dialogue,Event:permission after,,,
413,permission after,TRUE,Student reading,permission after,,,,,Set:young man muses over book after,Event:protection_charm2,,,,,,
414,young man muses over book after,TRUE,Student reading,young man muses over book after,,,,,Event:lake_camera_cue31,Quest_Completed:quests for students 3,Event:student_recruit3,,,,,
415,lake_camera_cue31_post,TRUE,Tutorial,lake_camera_cue31_post,,,,,Event:lake_camera_cue31_hide,,,,,,,
416,lake_camera_cue32_post,TRUE,Tutorial,lake_camera_cue32_post,,,,,Event:lake_camera_cue32_hide,,,,,,,
417,lake_camera_cue33_post,TRUE,Tutorial,lake_camera_cue33_post,,,,,Event:lake_camera_cue33_hide,,,,,,,
418,lake_camera_cue34_post,TRUE,Tutorial,lake_camera_cue34_post,,,,,Event:lake_camera_cue34_hide,,,,,,,
419,Delivery boy1,TRUE,Delivery boy,Delivery boy1,,,,,Quest_Completed:quest mystery delivery guy,,,,,,,
420,no deliveries,TRUE,Villager at gate3,no deliveries,,,,,Set:Two women standing by a tree2,,,,,,,
421,Two women standing by a tree2,TRUE,Villager at gate3,Two women standing by a tree2,,,,,Quest_Completed:quest deliver to mountain town,,,,,,,
422,new delivery,TRUE,Quartermaster,new delivery,,,,,Set:Quartermaster2,,,,,,,
423,Quartermaster2,TRUE,Quartermaster,Quartermaster2,,,,,Set:Quartermaster1,Quest_Completed:quest mystery delivery soap,Quest_Start:quest deliver to mountain town,,,,,
424,disturb turnip,TRUE,Farmers kid,disturb turnip,,,,,Set:You pick up the turnip 1,,,,,,,
425,You pick up the turnip 1,TRUE,Farmers kid,You pick up the turnip 1,,,,,Set:You pick up the turnip 2,,,,,,,
426,trainer intro 1,TRUE,Trainer,trainer intro 1,,,,,Quest_Completed:quest objective learn to fight,,,,,,,
427,trainer greets you,TRUE,Trainer,trainer greets you,,,,,Set:trainer intro 1,,,,,,,
428,training_activate1,TRUE,Trainer,training_activate1,,,,,Call:Wait=2|Event=training_start1,Remove:training_activate1,,,,,,
429,training_start1,TRUE,Trainer,training_start1,,,,,Set:trainer fighting skills 1,Unprompted_Dialogue:NULL,Event:Training 1#Event_Action=SetAssist_assist train 1,Remove:training_start1,,,,
430,trainer fighting skills 1,TRUE,Trainer,trainer fighting skills 1,,,,,Set:trainer intro 1,Event:Training 1#Event_Action=FadeAssist_120,Remove:trainer fighting skills1 ,,,,,
431,training_activate2,TRUE,Trainer,training_activate2,,,,,Call:Wait=2|Event=training_start2,Event:unset_camera_cue41,Event:unset_camera_cue42,Remove:training_activate2,,,,
432,training_start2,TRUE,Trainer,training_start2,,,,,Event:lakeside_camera_cue41,Set:trainer dodging 2,Unprompted_Dialogue:2,Event:Training 2#Event_Action=SetAssist_assist train 2,Remove:training_start2,,,
433,trainer dodging 2,TRUE,Trainer,trainer dodging 2,,,,,Event:unset_camera_cue41,Event:trainer dodging 2a,Remove:trainer dodging 2,,,,,
434,trainer dodging 2a,TRUE,Trainer,trainer dodging 2a,,,,,Call:fight_aggressive,Call:npc_combat_start,Call:Wait=20|Event=DodgeTrainingEnd,Remove:trainer dodging 2a,,,,
435,DodgeTrainingEnd,TRUE,Trainer,DodgeTrainingEnd,,,,,Call:npc_combat_stop,Event:lakeside_camera_cue42,Call:Wait=4|Event=DodgeTrainingEnda,Remove:DodgeTrainingEnd,,,,
436,DodgeTrainingEnda,TRUE,Trainer,DodgeTrainingEnda,,,,,Set:trainer dodging 2 post,Unprompted_Dialogue:NULL,Event:Training 2unblock#Event_Action=Unblock_Combat,Remove:DodgeTrainingEnda,,,,
437,trainer dodging 2 post,TRUE,Trainer,trainer dodging 2 post,,,,,Set:trainer intro 1,Event:Training 2b#Event_Action=EndAssist,Remove:trainer fighting skills1 ,Event:unset_camera_cue42,,,,
438,training_activate3,TRUE,Trainer,training_activate3,,,,,Call:Wait=2|Event=training_start3,Remove:training_activate3,,,,,,
439,training_start3,TRUE,Trainer,training_start3,,,,,Set:trainer fighting combos 3,Unprompted_Dialogue:NULL,Event:Training 3#Event_Action=SetAssist_assist train 3,Remove:training_start3,,,,
440,trainer fighting combos 3,TRUE,Trainer,trainer fighting combos 3,,,,,Set:trainer intro 1,Event:Training 3#Event_Action=FadeAssist_120,Remove:trainer fighting with range 4,,,,,
441,training_activate4,TRUE,Trainer,training_activate4,,,,,Call:Wait=2|Event=training_start4,Remove:training_activate4,,,,,,
442,training_start4,TRUE,Trainer,training_start4,,,,,Set:trainer fighting with range 4,Unprompted_Dialogue:NULL,Event:Training 4#Event_Action=SetAssist_assist train 4,Remove:training_start4,,,,
443,trainer fighting with range 4,TRUE,Trainer,trainer fighting with range 4,,,,,Set:trainer intro 1,Event:Training 4#Event_Action=FadeAssist_120,Remove:trainer fighting with range 4,,,,,
444,training_activate5,TRUE,Trainer,training_activate5,,,,,Call:Wait=2|Event=training_start5,Event:unset_camera_cue41,Event:unset_camera_cue42,Remove:training_activate5,,,,
445,training_start5,TRUE,Trainer,training_start5,,,,,Event:lakeside_camera_cue41,Set:trainer on spatial fighting 5,Unprompted_Dialogue:2,Event:Training 5#Event_Action=SetAssist_assist train 5,Remove:training_start5,,,
446,trainer on spatial fighting 5,TRUE,Trainer,trainer on spatial fighting 5,,,,,Call:fight_sweeps,Call:npc_combat_start,Event:unset_camera_cue41,Call:Wait=30|Event=TimerExpireRemote5,Remove:trainer on spatial fighting 5,,,
447,TimerExpireRemote5,TRUE,Trainer,TimerExpireRemote5,,,,,Call:fight_normal,Call:npc_combat_stop,Event:Training 5#Event_Action=EndAssist,Event:TimerExpireRemote5a,Remove:TimerExpireRemote5,,,
448,TimerExpireRemote5a,TRUE,Trainer,TimerExpireRemote5a,,,,,Call:Wait=2|Event=training_start5_after,Remove:TimerExpireRemote5a,Event:lakeside_camera_cue42,,,,,
449,training_start5_after,TRUE,Trainer,training_start5_after,,,,,Set:trainer spatial fighting 5 post,Unprompted_Dialogue:NULL,Event:unset_camera_cue42,Event:Training 5unblock#Event_Action=Unblock_Combat,Remove:training_start5_after,,,
450,trainer spatial fighting 5 post,TRUE,Trainer,trainer spatial fighting 5 post,,,,,Set:trainer intro 1,Remove:trainer spatial fighting 5 post,,,,,,
451,training_activate6,TRUE,Trainer,training_activate6,,,,,Call:Wait=2|Event=training_start6,Remove:training_activate6,,,,,,
452,training_start6,TRUE,Trainer,training_start6,,,,,Set:trainer on running attacks 6,Unprompted_Dialogue:NULL,Event:Training 6#Event_Action=SetAssist_assist train 6,Remove:training_start6,,,,
453,trainer on spatial fighting 6,TRUE,Trainer,trainer on spatial fighting 6,,,,,Set:trainer intro 1,Event:Training 6#Event_Action=FadeAssist_120,Remove:trainer on spatial fighting 6,,,,,
454,training_activate7,TRUE,Trainer,training_activate7,,,,,Call:Wait=2|Event=training_start7,Event:unset_camera_cue43,Remove:training_activate7,,,,,
455,training_start7,TRUE,Trainer,training_start7,,,,,Set:trainer on environment traversal 7,Unprompted_Dialogue:2,Event:Training 7#Event_Action=SetAssist_assist train 7,Remove:training_start7,,,,
456,trainer on environment traversal 7,TRUE,Trainer,trainer on environment traversal 7,,,,,Event:lakeside_camera_cue43,Set:trainer intro 1,Event:Training 7#Event_Action=FadeAssist_240,Remove:trainer on environment traversal 7,Event:unset_camera_cue43,,,
457,training_activate8,TRUE,Trainer,training_activate8,,,,,Call:Wait=2|Event=training_start8_0,Remove:training_activate8,,,,,,
458,training_start8_0,TRUE,Trainer,training_start8_0,,,,,Event:training_start8,Event:unset_camera_cue41,Event:unset_camera_cue42,Event:training_start8_after,Remove:training_start8_0,,,
459,training_start8,TRUE,Trainer,training_start8,,,,,Event:training_start8a,Event:training_start8b,Remove:training_start8,,,,,
460,training_start8a,TRUE,Trainer,training_start8a,,trainer on upgrading skills available 8,,,Remove:training_start8_after,Event:lakeside_camera_cue41,Set:trainer on upgrading skills available 8,Unprompted_Dialogue:2,Event:Training 8a#Event_Action=SetAssist_assist train 8910,Remove:training_start8b,,
461,training_start8b,TRUE,Trainer,training_start8b,,,trainer on upgrading skills available 8,act2_start,Remove:training_start8_after,Event:lakeside_camera_cue41,Set:trainer on upgrading skills available 8 act2,Unprompted_Dialogue:2,Event:Training 8b#Event_Action=SetAssist_assist train 8910,Remove:training_start8a,,
462,trainer on upgrading skills available 8,TRUE,Trainer,trainer on upgrading skills available 8,,,,,Call:fight_neutral,Call:npc_combat_start,Event:unset_camera_cue41,Event:training8h#Event_Action=Enable_AttackHeavy,Event:training8a#Event_Action=Enable_AttackArea,Call:Wait=20|Event=TimerExpireRemote8a,,
463,trainer on upgrading skills available 8 act2,TRUE,Trainer,trainer on upgrading skills available 8 act2,,,,,Call:fight_neutral,Call:npc_combat_start,Event:unset_camera_cue41,Call:Wait=20|Event=TimerExpireRemote8b,,,,
464,training_start8_after,TRUE,Trainer,training_start8_after,,,,trainer on upgrading skills available 8,Event:lakeside_camera_cue42,Set:trainer on upgrading skills unavailable 8,Unprompted_Dialogue:NULL,Event:unset_camera_cue_42,Event:Training 8unblock#Event_Action=Unblock_Combat,Event:training_start8_after2,,
465,training_start8_after2,TRUE,Trainer,training_start8_after2,,,,,Remove:training_start8,Remove:training_start8a,Remove:training_start8b,Remove:training_start8_after,Remove:training_start8_after2,,,
466,training_activate9,TRUE,Trainer,training_activate9,,,,,Call:Wait=2|Event=training_start9_0,Event:unset_camera_cue41,Event:unset_camera_cue42,Remove:training_activate9,,,,
467,training_start9_0,TRUE,Trainer,training_start9_0,,,,,Event:training_start9,Event:training_start9_after,Remove:training_start9_0,,,,,
468,training_start9,TRUE,Trainer,training_start9,,,,,Event:training_start9a,Event:training_start9b,Remove:training_start9,,,,,
469,training_start9a,TRUE,Trainer,training_start9a,,trainer on getting stronger available 9,,,Remove:training_start9_after,Event:lakeside_camera_cue41,Set:trainer on getting stronger available 9,Unprompted_Dialogue:2,Event:Training 9a#Event_Action=SetAssist_assist train 8910,Remove:training_start9b,,
470,training_start9b,TRUE,Trainer,training_start9b,,,trainer on getting stronger available 9,act2_start,Remove:training_start9_after,Event:lakeside_camera_cue41,Set:trainer on getting stronger available 9 act2,Unprompted_Dialogue:2,Event:Training 9b#Event_Action=SetAssist_assist train 8910,Remove:training_start9a,,
471,trainer on getting stronger available 9,TRUE,Trainer,trainer on getting stronger available 9,,,,,Call:fight_defensive,Call:npc_combat_start,Event:unset_camera_cue41,Call:Wait=20|Event=TimerExpireRemote9a,,,,
472,trainer on getting stronger available 9 act2,TRUE,Trainer,trainer on getting stronger available 9 act2,,,,,Call:fight_defensive,Call:npc_combat_start,Event:unset_camera_cue41,Call:Wait=20|Event=TimerExpireRemote9b,,,,
473,training_start9_after,TRUE,Trainer,training_start9_after,,,,trainer on getting stronger available 9,Event:lakeside_camera_cue42,Set:trainer on getting stronger unavailable 9,Unprompted_Dialogue:NULL,Event:Training 9unblock#Event_Action=Unblock_Combat,Event:training_start9_after2,,,
474,training_start9_after2,TRUE,Trainer,training_start9_after2,,,,,Remove_training_start9,Remove_training_start9a,Remove_training_start9b,Remove:training_start9_after,Remove:training_start9_after2,,,
475,training_activate10,TRUE,Trainer,training_activate10,,,,,Call:Wait=2|Event=training_start10_0,Event:unset_camera_cue41,Event:unset_camera_cue42,Remove:training_activate10,,,,
476,training_start10_0,TRUE,Trainer,training_start10_0,,,,,Event:training_start10,Event:training_start10_after,Remove:training_start10_0,,,,,
477,training_start10,TRUE,Trainer,training_start10,,,,,Event:training_start10a,Event:training_start10b,Remove:training_start10,,,,,
478,training_start10a,TRUE,Trainer,training_start10a,,trainer on defense training available 10,,,Remove:training_start10_after,Event:lakeside_camera_cue41,Set:trainer on defense training available 10,Unprompted_Dialogue:NULL,Event:Training 10#Event_Action=SetAssist_assist train 8910,Remove:training_start10b,,
479,training_start10b,TRUE,Trainer,training_start10b,,,trainer on defense training available 10,act2_start,Remove:training_start10_after,Event:lakeside_camera_cue41,Set:trainer on defense training available 10 act2,Unprompted_Dialogue:NULL,Event:Training 10#Event_Action=SetAssist_assist train 8910,Remove:training_start10a,,
480,trainer on defense training available 10,TRUE,Trainer,trainer on defense training available 10,,,,,Call:fight_aggressive,Call:npc_combat_start,Event:unset_camera_cue41,Call:Wait=20|Event=TimerExpireRemote10a,,,,
481,trainer on defense training available 10 act2,TRUE,Trainer,trainer on defense training available 10 act2,,,,,Call:fight_aggressive,Call:npc_combat_start,Event:unset_camera_cue41,Call:Wait=20|Event=TimerExpireRemote10b,,,,
482,training_start10_after,TRUE,Trainer,training_start10_after,,,,,Event:lakeside_camera_cue42,Set:trainer on defense training unavailable 10,Unprompted_Dialogue:NULL,Event:Training 10unblock#Event_Action=Unblock_Combat,Event:training_start10_after2,,,
483,training_start10_after2,TRUE,Trainer,training_start10_after2,,,,,Remove_training_start10,Remove_training_start10a,Remove_training_start10b,Remove:training_start10_after,Remove:training_start10_after2,,,
484,TimerExpireRemote8a,TRUE,Trainer,TimerExpireRemote8a,,,,,Call:npc_combat_stop,Set_Narrator:narrator new attacks available,Event:NarratorTrain8#Event_Action=Cue_Narrator_Dialogue,Event:unset_camera_cue_42,Call:Wait=4|Event=TimerExpireRemote,Add_Level:primary_element,,
485,TimerExpireRemote8a2,TRUE,Trainer,TimerExpireRemote8a2,,,,,Event:TimerExpireRemote8a3,Event:TimerExpireRemote8a4,Event:TimerExpireRemote8a5,,,,,
486,TimerExpireRemote8a3,TRUE,Trainer,TimerExpireRemote8a3,,,,primary_element_Air,Add_Level:fire_skill,Add_Level:earth_skill,,,,,,
487,TimerExpireRemote8a4,TRUE,Trainer,TimerExpireRemote8a4,,,,primary_element_Earth,Add_Level:fire_skill,Add_Level:air_skill,,,,,,
488,TimerExpireRemote8a5,TRUE,Trainer,TimerExpireRemote8a5,,,,primary_element_Fire,Add_Level:earth_skill,Add_Level:air_skill,,,,,,
489,TimerExpireRemote8b,TRUE,Trainer,TimerExpireRemote8b,,,,,Call:npc_combat_stop,Set_Narrator:narrator new attacks available,Event:NarratorTrain8#Event_Action=Cue_Narrator_Dialogue,Event:unset_camera_cue_42,Call:Wait=4|Event=TimerExpireRemote,Event:TimerExpireRemote8b2,,
490,TimerExpireRemote8b2,TRUE,Trainer,TimerExpireRemote8b2,,,,,Event:TimerExpireRemote8b3,Event:TimerExpireRemote8b4,Event:TimerExpireRemote8b5,,,,,
491,TimerExpireRemote8b3,TRUE,Trainer,TimerExpireRemote8b3,,,,primary_element_Air,Add_Level:fire_skill,Add_Level:earth_skill,,,,,,
492,TimerExpireRemote8b4,TRUE,Trainer,TimerExpireRemote8b4,,,,primary_element_Earth,Add_Level:fire_skill,Add_Level:wind_skill,,,,,,
493,TimerExpireRemote8b5,TRUE,Trainer,TimerExpireRemote8b5,,,,primary_element_Fire,Add_Level:earth_skill,Add_Level:wind_skill,,,,,,
494,TimerExpireRemote9a,TRUE,Trainer,TimerExpireRemote9a,,,,,Call:npc_combat_stop,Set_Narrator:narrator strength training upgrade1,Event:NarratorTrain9#Event_Action=Cue_Narrator_Dialogue,Event:unset_camera_cue_42,Call:Wait=4|Event=TimerExpireRemote,Add_Level:attack_strength,,
495,TimerExpireRemote9b,TRUE,Trainer,TimerExpireRemote9b,,,,,Call:npc_combat_stop,Set_Narrator:narrator strength training upgrade2,Event:NarratorTrain9#Event_Action=Cue_Narrator_Dialogue,Event:unset_camera_cue_42,Call:Wait=4|Event=TimerExpireRemote,Add_Level:attack_speed,,
496,TimerExpireRemote10a,TRUE,Trainer,TimerExpireRemote10a,,,,,Call:npc_combat_stop,Set_Narrator:narrator defense training upgrade1,Event:NarratorTrain10#Event_Action=Cue_Narrator_Dialogue,Event:unset_camera_cue_42,Call:Wait=4|Event=TimerExpireRemote,Add_Level:defense_strength,,
497,TimerExpireRemote10b,TRUE,Trainer,TimerExpireRemote10b,,,,,Call:npc_combat_stop,Set_Narrator:narrator defense training upgrade1,Event:NarratorTrain10#Event_Action=Cue_Narrator_Dialogue,Event:unset_camera_cue_42,Call:Wait=4|Event=TimerExpireRemote,Add_Level:defense_strength,,
498,TimerExpireRemote,TRUE,Trainer,TimerExpireRemote,,,,,Event:lakeside_camera_cue42,Set:trainer intro 1,Event:Training 8910#Event_Action=EndAssist,Event:Training 8910unblock#Event_Action=Unblock_Combat,Remove:TimerExpireRemote,,,
499,training_activate11,TRUE,Trainer,training_activate11,,,,,Call:Wait=2|Event=training_start11_0,Remove:training_activate11,,,,,,
500,training_start11_0,TRUE,Trainer,training_start11_0,,,,,Event:training_start11,Event:training_start11_after,Remove:training_start11_0,,,,,
501,training_start11,TRUE,Trainer,training_start11,,,,,Remove:training_start11_after,Set:trainer endurance training available 11,Unprompted_Dialogue:NULL,Event:Training 11#Event_Action=SetAssist_assist train 11,Event:start_race11,,,
